# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: proj2a
# Creation date: 11/17/2021 12:48:25
# 
# 11/17/2021 12:48:25
# The parameters defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm],P4 - Equivalent Stress Maximum [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 0,25,125,75,13442520.566477995
# 
# A non parametric change occurred and invalidated design point results.
# 11/17/2021 13:05:00
# 
# 
# A non parametric change occurred and invalidated design point results.
# 11/17/2021 13:28:43
# 
# 
# 11/17/2021 21:35:43
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm],P4 - Equivalent Stress Maximum [Pa],P5 - Total Deformation Reported Frequency [Hz],P6 - Temperature Maximum [C]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 1,22.625,133.4,83.4,11433961.999958048,1329.639579720402,349.89254760742188
DP 2,22.875,134.6,72.6,11681074.522359177,1425.3325895096154,348.07943725585938
DP 3,23.125,143,79.8,11623010.14929723,1250.2151194751523,346.96810913085938
DP 4,23.375,123.8,73.8,14845162.940301469,1631.3700612193129,345.21218872070313
DP 5,23.625000000000004,126.2,85.800000000000011,11559382.969860015,1348.5810888110077,343.5830078125
DP 6,23.875,141.8,69,11168590.860009642,1326.5235167619567,344.089111328125
DP 7,24.125,138.2,88.2,18631945.471344184,1210.0319103430395,347.36325073242188
DP 8,24.374999999999996,131,66.6,11648538.297559023,1530.7806164975539,342.90484619140625
DP 9,24.625,127.4,78.6,11228558.221419254,1512.1997001390339,342.0848388671875
DP 10,24.875,137,76.2,11346320.363912629,1402.189495267786,341.48263549804688
DP 11,25.125,145.4,81,11924945.95991152,1230.87515247554,341.20086669921875
DP 12,25.375,129.8,89.4,15896079.944221625,1270.6172439653753,340.82720947265625
DP 13,25.625,125,70.2,12540544.030291541,1696.6339583065032,339.52908325195313
DP 14,25.875,144.20000000000002,71.4,11637737.275240144,1302.9358881238607,338.83761596679688
DP 15,26.125,122.59999999999998,82.2,16991007.364550553,1494.8556300765422,341.05984497070313
DP 16,26.375,140.6,87,14751251.644605275,1231.1956391059257,338.84716796875
DP 17,26.625,135.8,67.8,11692135.766536849,1483.67928562498,338.4547119140625
DP 18,26.875,132.2,84.6,12336674.192113744,1368.5848795780119,339.0877685546875
DP 19,27.125,128.6,75,11831216.966940451,1600.6565684480793,338.73257446289063
DP 20,27.375,139.4,77.4,11712752.520056196,1388.244377890418,336.03390502929688
DP 1,22.5,122,66,11768003.328620669,1707.599350443526,358.3311767578125
DP 1,27.5,146,66,12641093.445411403,1296.3546048953974,335.07876586914063
DP 1,27.5,122,66,12633983.884178545,1833.0978439387204,344.5892333984375
DP 1,27.5,122,90,13589541.39732118,1326.6114924633282,345.13192749023438
DP 1,27.5,146,90,14326992.309927544,1158.9982857723178,334.82241821289063
DP 1,22.526582629070617,145.39703336451203,72.652802593074739,11161253.902121013,1216.8316083476557,350.408447265625
DP 2,22.527147140935995,144.1219767620787,89.394829717464745,23628488.649749849,1107.7804098509421,349.9237060546875
DP 3,22.659226679825224,129.9885259186849,66.208674461580813,11205826.634827062,1498.6514992707985,351.10443115234375
DP 4,24.82401256042067,145.76903229672462,89.808683940209448,15077900.137273826,1126.687803833672,341.302001953125
DP 5,27.41689171816688,145.94392057228833,81.812390665523708,12360735.255483584,1248.2575942088306,336.59149169921875
